Time (s),PPG Value
7.279556,-0.5004
7.289392,-0.49
7.299888,-0.5975
7.309744,-0.6297
7.319576,-0.4474
7.329424,-0.33
7.33926,-0.115
7.349928,0.1785
7.359944,0.2747
7.370012,0.2257
7.380056,0.1651
7.39006,0.1936
7.400784,0.3354
7.410804,0.3607
7.420824,0.2377
7.430812,-0.0057
7.440648,-0.3009
7.450468,-0.4045
7.461004,-0.4859
7.470844,-0.5429
7.480688,-0.4278
7.49052,-0.3055
7.500344,-0.3268
7.510876,-0.4179
7.520716,-0.4982
7.53054,-0.4592
7.54038,-0.3513
7.550236,-0.2257
7.560772,-0.022
7.570816,0.0994
7.581032,0.1224
7.591044,0.0503
7.601044,0.0552
7.611756,0.0654
7.621772,0.0342
7.631772,-0.0233
7.641644,-0.1815
7.651508,-0.3981
7.662036,-0.6249
7.671888,-0.759
7.681716,-0.7766
7.691552,-0.713
7.701372,-0.5916
7.7119,-0.4898
7.721724,-0.5582
7.731564,-0.4782
7.741404,-0.2152
7.75126,-0.0421
7.761108,-0.0653
7.77164,-0.1186
7.781556,0.051
7.79156,0.2402
7.801592,0.3164
7.81168,0.3002
7.822396,0.2679
7.83242,0.2611
7.842464,0.167
7.8525,0.0557
7.862512,0.0468
7.87308,-0.224
7.882912,-0.4315
7.892736,-0.5267
7.902568,-0.8145
7.912376,-1.0
7.92288,-1.0
7.932696,-0.8722
7.942536,-0.4782
7.952364,-0.2899
7.962216,-0.2466
7.97274,-0.2028
7.982584,-0.2764
7.992432,-0.2714
8.002285,-0.0043
8.01232,0.2523
8.023004,0.3367
8.033717,0.2538
8.043725,0.2082
8.05374,0.2587
8.063753,0.2371
8.074444,0.1561
8.085992,-0.1021
8.095821,-0.3437
8.105661,-0.5014
8.11552,-0.64
8.126008,-0.6898
8.135816,-0.6294
8.145652,-0.6055
8.155476,-0.5833
8.165312,-0.5216
8.175148,-0.4682
8.185656,-0.4678
8.195492,-0.3394
8.205332,-0.1999
8.215196,-0.151
